##name Bulgarian
##ownname Български
##isocode bg_BG.UTF-8
##plural 0

##id 0x0000
STR_0001_OFF_EDGE_OF_MAP                                        :{WHITE}Извън картата
STR_0002_TOO_CLOSE_TO_EDGE_OF_MAP                               :{WHITE}Края на картата е прекалено близо
STR_0003_NOT_ENOUGH_CASH_REQUIRES                               :{WHITE}Недостатъчно пари - трябват {CURRENCY}
STR_0004                                                        :{WHITE}{CURRENCY64}
STR_0005                                                        :{RED}{CURRENCY64}
STR_0007_FLAT_LAND_REQUIRED                                     :{WHITE}Трябва равна земя
STR_0008_WAITING                                                :{BLACK}Чакане: {WHITE}{STRING}
STR_0009                                                        :{WHITE}{STRING}
STR_000A_EN_ROUTE_FROM                                          :{WHITE}{STRING}{YELLOW}  (на път от
STR_000B                                                        :{YELLOW}{STATION})
STR_000C_ACCEPTS                                                :{BLACK}Приема: {WHITE}
STR_000D_ACCEPTS                                                :{BLACK}Приема: {GOLD}
STR_000E                                                        :
STR_000F_PASSENGERS                                             :Пътници
STR_0010_COAL                                                   :Въглища
STR_0011_MAIL                                                   :Поща
STR_0012_OIL                                                    :Нефт
STR_0013_LIVESTOCK                                              :Добитък
STR_0014_GOODS                                                  :Стоки
STR_0015_GRAIN                                                  :Зърно
STR_0016_WOOD                                                   :Дърва
STR_0017_IRON_ORE                                               :Желязна руда
STR_0018_STEEL                                                  :Стомана
STR_0019_VALUABLES                                              :Скъпоценности
STR_001A_COPPER_ORE                                             :Медна руда
STR_001B_MAIZE                                                  :Царевица
STR_001C_FRUIT                                                  :Плодове
STR_001D_DIAMONDS                                               :Диаманти
STR_001E_FOOD                                                   :Храна
STR_001F_PAPER                                                  :Хартия
STR_0020_GOLD                                                   :Злато
STR_0021_WATER                                                  :Вода
STR_0022_WHEAT                                                  :Пшеница
STR_0023_RUBBER                                                 :Каучук
STR_0024_SUGAR                                                  :Захар
STR_0025_TOYS                                                   :Играчки
STR_0026_CANDY                                                  :Сладки
STR_0027_COLA                                                   :Кола
STR_0028_COTTON_CANDY                                           :Захарен памук
STR_0029_BUBBLES                                                :Балони
STR_002A_TOFFEE                                                 :Карамел
STR_002B_BATTERIES                                              :Батерии
STR_002C_PLASTIC                                                :Пластмаса
STR_002D_FIZZY_DRINKS                                           :Газирани напитки
STR_002E                                                        :
STR_002F_PASSENGER                                              :Пътници
STR_0030_COAL                                                   :Въглища
STR_0031_MAIL                                                   :Поща
STR_0032_OIL                                                    :Нефт
STR_0033_LIVESTOCK                                              :Добитък
STR_0034_GOODS                                                  :Стоки
STR_0035_GRAIN                                                  :Зърно
STR_0036_WOOD                                                   :Дърва
STR_0037_IRON_ORE                                               :Желязна руда
STR_0038_STEEL                                                  :Стомана
STR_0039_VALUABLES                                              :Скъпоценности
STR_003A_COPPER_ORE                                             :Медна руда
STR_003B_MAIZE                                                  :Царевица
STR_003C_FRUIT                                                  :Плодове
STR_003D_DIAMOND                                                :Диаманти
STR_003E_FOOD                                                   :Храна
STR_003F_PAPER                                                  :Хартия
STR_0040_GOLD                                                   :Злато
STR_0041_WATER                                                  :Вода
STR_0042_WHEAT                                                  :Пшеница
STR_0043_RUBBER                                                 :Каучук
STR_0044_SUGAR                                                  :Захар
STR_0045_TOY                                                    :Играчки
STR_0046_CANDY                                                  :Сладки
STR_0047_COLA                                                   :Кола
STR_0048_COTTON_CANDY                                           :Захарен памук
STR_0049_BUBBLE                                                 :Балони
STR_004A_TOFFEE                                                 :Карамел
STR_004B_BATTERY                                                :Батерии
STR_004C_PLASTIC                                                :Пластмаса
STR_004D_FIZZY_DRINK                                            :Газирани напитки
STR_ABBREV_NOTHING                                              :
STR_ABBREV_PASSENGERS                                           :{TINYFONT}ПН
STR_ABBREV_COAL                                                 :{TINYFONT}ВГ
STR_ABBREV_MAIL                                                 :{TINYFONT}ПЩ
STR_ABBREV_OIL                                                  :{TINYFONT}НФ
STR_ABBREV_LIVESTOCK                                            :{TINYFONT}ДБ
STR_ABBREV_GOODS                                                :{TINYFONT}СТ
STR_ABBREV_GRAIN                                                :{TINYFONT}ЗР
STR_ABBREV_WOOD                                                 :{TINYFONT}ДВ
STR_ABBREV_IRON_ORE                                             :{TINYFONT}ЖР
STR_ABBREV_STEEL                                                :{TINYFONT}СТ
STR_ABBREV_VALUABLES                                            :{TINYFONT}СЦ
STR_ABBREV_COPPER_ORE                                           :{TINYFONT}МР
STR_ABBREV_MAIZE                                                :{TINYFONT}ЦВ
STR_ABBREV_FRUIT                                                :{TINYFONT}ПЛ
STR_ABBREV_DIAMONDS                                             :{TINYFONT}ДМ
STR_ABBREV_FOOD                                                 :{TINYFONT}ХР
STR_ABBREV_PAPER                                                :{TINYFONT}ХТ
STR_ABBREV_GOLD                                                 :{TINYFONT}ЗЛ
STR_ABBREV_WATER                                                :{TINYFONT}ВД
STR_ABBREV_WHEAT                                                :{TINYFONT}ЗР
STR_ABBREV_RUBBER                                               :{TINYFONT}КЧ
STR_ABBREV_SUGAR                                                :{TINYFONT}ЗХ
STR_ABBREV_TOYS                                                 :{TINYFONT}ИЧ
STR_ABBREV_SWEETS                                               :{TINYFONT}СЛ
STR_ABBREV_COLA                                                 :{TINYFONT}КЛ
STR_ABBREV_CANDYFLOSS                                           :{TINYFONT}ЗП
STR_ABBREV_BUBBLES                                              :{TINYFONT}БЛ
STR_ABBREV_TOFFEE                                               :{TINYFONT}КМ
STR_ABBREV_BATTERIES                                            :{TINYFONT}БТ
STR_ABBREV_PLASTIC                                              :{TINYFONT}ПМ
STR_ABBREV_FIZZY_DRINKS                                         :{TINYFONT}ГН
STR_ABBREV_NONE                                                 :{TINYFONT}НЩ
STR_ABBREV_ALL                                                  :{TINYFONT}ВЧ
STR_00AE                                                        :{WHITE}{DATE_SHORT}
STR_00AF                                                        :{WHITE}{DATE_LONG}
STR_00B0_MAP                                                    :{WHITE}Карта - {STRING}
STR_00B1_GAME_OPTIONS                                           :{WHITE}Настройки
STR_00B2_MESSAGE                                                :{YELLOW}Съобщение
STR_00B3_MESSAGE_FROM                                           :{YELLOW}Съобщение от {STRING}
STR_00B4_CAN_T_DO_THIS                                          :{WHITE}Това е невъзможно....
STR_00B5_CAN_T_CLEAR_THIS_AREA                                  :{WHITE}Изчистването е невъзможно....
STR_00B6_ORIGINAL_COPYRIGHT                                     :{BLACK}Авторски права {COPYRIGHT} 1995 Крис Сойер (Chris Sawyer), Всички права са запазени
STR_00B7_VERSION                                                :{BLACK}OpenTTD версия {REV}
STR_00BA_COPYRIGHT_OPENTTD                                      :{BLACK}OpenTTD {COPYRIGHT}2002-2006 The OpenTTD team

STR_00C5                                                        :{BLACK}{CROSS}
STR_00C6                                                        :{SILVER}{CROSS}
STR_00C7_QUIT                                                   :{WHITE}Изход
STR_00C8_YES                                                    :{BLACK}Да
STR_00C9_NO                                                     :{BLACK}Не
STR_00CA_ARE_YOU_SURE_YOU_WANT_TO                               :{YELLOW}Желаете ли да прекъснете играта и да се върнете към {STRING}?
STR_00CB_1                                                      :{BLACK}1
STR_00CC_2                                                      :{BLACK}2
STR_00CD_3                                                      :{BLACK}3
STR_00CE_4                                                      :{BLACK}4
STR_00CF_5                                                      :{BLACK}5
STR_00D0_NOTHING                                                :Нищо
STR_00D1_DARK_BLUE                                              :Тъмно синьо
STR_00D2_PALE_GREEN                                             :Бледо зелено
STR_00D3_PINK                                                   :Розово
STR_00D4_YELLOW                                                 :Жълто
STR_00D5_RED                                                    :Червено
STR_00D6_LIGHT_BLUE                                             :Светло синьо
STR_00D7_GREEN                                                  :Зелено
STR_00D8_DARK_GREEN                                             :Тъмно зелено
STR_00D9_BLUE                                                   :Синьо
STR_00DA_CREAM                                                  :Кремаво
STR_00DB_MAUVE                                                  :Бледомораво
STR_00DC_PURPLE                                                 :Пурпурно
STR_00DD_ORANGE                                                 :Оранжево
STR_00DE_BROWN                                                  :Кафяво
STR_00DF_GREY                                                   :Сиво
STR_00E0_WHITE                                                  :Бяло
STR_00E1_TOO_MANY_VEHICLES_IN_GAME                              :{WHITE}Прекалено много превозни средства
STR_00E2                                                        :{BLACK}{COMMA}
STR_00E3                                                        :{RED}{COMMA}
STR_00E4_LOCATION                                               :{BLACK}Позиция
STR_00E5_CONTOURS                                               :Контури
STR_00E6_VEHICLES                                               :Превозни средства
STR_00E7_INDUSTRIES                                             :Индустрии
STR_00E8_ROUTES                                                 :Маршрути
STR_00E9_VEGETATION                                             :Растителност
STR_00EA_OWNERS                                                 :Собственици
STR_00EB_ROADS                                                  :{BLACK}{TINYFONT}Пътища
STR_00EC_RAILROADS                                              :{BLACK}{TINYFONT}ЖП
STR_00ED_STATIONS_AIRPORTS_DOCKS                                :{BLACK}{TINYFONT}Гари/Летища/Докове
STR_00EE_BUILDINGS_INDUSTRIES                                   :{BLACK}{TINYFONT}Сгради/Индустрии
STR_00EF_VEHICLES                                               :{BLACK}{TINYFONT}Превозни средства
STR_00F0_100M                                                   :{BLACK}{TINYFONT}100 м
