##name Original vehicle names (ENG)
##ownname Original vehicle names (ENG)
##isocode xx

##id 0x8000
STR_8000_KIRBY_PAUL_TANK_STEAM                                  :Collett Pannier Tank (Steam)
STR_8001_MJS_250_DIESEL                                         :MJS 250 (Diesel)
STR_8002_PLODDYPHUT_CHOO_CHOO                                   :Ploddyphut Choo-Choo
STR_8003_POWERNAUT_CHOO_CHOO                                    :Powernaut Choo-Choo
STR_8004_MIGHTYMOVER_CHOO_CHOO                                  :Mightymover Choo-Choo
STR_8005_PLODDYPHUT_DIESEL                                      :Ploddyphut Diesel
STR_8006_POWERNAUT_DIESEL                                       :Powernaut Diesel
STR_8007_WILLS_2_8_0_STEAM                                      :Wills 2-8-0 (Steam)
STR_8008_CHANEY_JUBILEE_STEAM                                   :Stanier 'Jubilee' (Steam)
STR_8009_GINZU_A4_STEAM                                         :Gresley 'A4' (Steam)
STR_800A_SH_8P_STEAM                                            :BR '8P' (Steam)
STR_800B_MANLEY_MOREL_DMU_DIESEL                                :Metro Cammell DMU (Diesel)
STR_800C_DASH_DIESEL                                            :'Sprinter' (Diesel)
STR_800D_SH_HENDRY_25_DIESEL                                    :BR/Sulzer '25' (Diesel)
STR_800E_UU_37_DIESEL                                           :EE '37'
STR_800F_FLOSS_47_DIESEL                                        :Brush '47' (Diesel)
STR_8010_CS_4000_DIESEL                                         :CS 4000 (Diesel)
STR_8011_CS_2400_DIESEL                                         :CS 2400 (Diesel)
STR_8012_CENTENNIAL_DIESEL                                      :Centennial (Diesel)
STR_8013_KELLING_3100_DIESEL                                    :Kelling 3100 (Diesel)
STR_8014_TURNER_TURBO_DIESEL                                    :Turner Turbo (Diesel)
STR_8015_MJS_1000_DIESEL                                        :MJS 1000 (Diesel)
STR_8016_SH_125_DIESEL                                          :BR 'IC125' (Diesel)
STR_8017_SH_30_ELECTRIC                                         :BR '86' (Electric)
STR_8018_SH_40_ELECTRIC                                         :BR '87' (Electric)
STR_8019_T_I_M_ELECTRIC                                         :'T.G.V.' (Electric)
STR_801A_ASIASTAR_ELECTRIC                                      :'Eurostar' (Electric)
STR_801B_PASSENGER_CAR                                          :Passenger Carriage
STR_801C_MAIL_VAN                                               :Mail Van
STR_801D_COAL_CAR                                               :Coal Truck
STR_801E_OIL_TANKER                                             :Oil Tanker
STR_801F_LIVESTOCK_VAN                                          :Livestock Van
STR_8020_GOODS_VAN                                              :Goods Van
STR_8021_GRAIN_HOPPER                                           :Grain Hopper
STR_8022_WOOD_TRUCK                                             :Wood Truck
STR_8023_IRON_ORE_HOPPER                                        :Iron Ore Hopper
STR_8024_STEEL_TRUCK                                            :Steel Truck
STR_8025_ARMORED_VAN                                            :Armoured Van
STR_8026_FOOD_VAN                                               :Food Van
STR_8027_PAPER_TRUCK                                            :Paper Truck
STR_8028_COPPER_ORE_HOPPER                                      :Copper Ore Hopper
STR_8029_WATER_TANKER                                           :Water Tanker
STR_802A_FRUIT_TRUCK                                            :Fruit Truck
STR_802B_RUBBER_TRUCK                                           :Rubber Truck
STR_802C_SUGAR_TRUCK                                            :Sugar Truck
STR_802D_COTTON_CANDY_HOPPER                                    :Candyfloss Hopper
STR_802E_TOFFEE_HOPPER                                          :Toffee Hopper
STR_802F_BUBBLE_VAN                                             :Bubble Van
STR_8030_COLA_TANKER                                            :Cola Tanker
STR_8031_CANDY_VAN                                              :Sweets Van
STR_8032_TOY_VAN                                                :Toy Van
STR_8033_BATTERY_TRUCK                                          :Battery Truck
STR_8034_FIZZY_DRINK_TRUCK                                      :Fizzy Drink Truck
STR_8035_PLASTIC_TRUCK                                          :Plastic Truck
STR_8036_X2001_ELECTRIC                                         :'X2001' (Electric)
STR_8037_MILLENNIUM_Z1_ELECTRIC                                 :'Millennium Z1' (Electric)
STR_8038_WIZZOWOW_Z99                                           :Wizzowow Z99
STR_8039_PASSENGER_CAR                                          :Passenger Carriage
STR_803A_MAIL_VAN                                               :Mail Van
STR_803B_COAL_CAR                                               :Coal Truck
STR_803C_OIL_TANKER                                             :Oil Tanker
STR_803D_LIVESTOCK_VAN                                          :Livestock Van
STR_803E_GOODS_VAN                                              :Goods Van
STR_803F_GRAIN_HOPPER                                           :Grain Hopper
STR_8040_WOOD_TRUCK                                             :Wood Truck
STR_8041_IRON_ORE_HOPPER                                        :Iron Ore Hopper
STR_8042_STEEL_TRUCK                                            :Steel Truck
STR_8043_ARMORED_VAN                                            :Armoured Van
STR_8044_FOOD_VAN                                               :Food Van
STR_8045_PAPER_TRUCK                                            :Paper Truck
STR_8046_COPPER_ORE_HOPPER                                      :Copper Ore Hopper
STR_8047_WATER_TANKER                                           :Water Tanker
STR_8048_FRUIT_TRUCK                                            :Fruit Truck
STR_8049_RUBBER_TRUCK                                           :Rubber Truck
STR_804A_SUGAR_TRUCK                                            :Sugar Truck
STR_804B_COTTON_CANDY_HOPPER                                    :Candyfloss Hopper
STR_804C_TOFFEE_HOPPER                                          :Toffee Hopper
STR_804D_BUBBLE_VAN                                             :Bubble Van
STR_804E_COLA_TANKER                                            :Cola Tanker
STR_804F_CANDY_VAN                                              :Sweets Van
STR_8050_TOY_VAN                                                :Toy Van
STR_8051_BATTERY_TRUCK                                          :Battery Truck
STR_8052_FIZZY_DRINK_TRUCK                                      :Fizzy Drink Truck
