##name Persian
##ownname فارسی
##isocode fa_IR
##winlangid 0x0429
##grflangid 0x62
##plural 0
##textdir rtl
##digitsep ٬
##digitsepcur ٬

#

##id 0x0000
STR_ERROR_OFF_EDGE_OF_MAP                                       :{WHITE}خارج از نقشه
STR_ERROR_TOO_CLOSE_TO_EDGE_OF_MAP                              :{WHITE}بسیار نزدیک به حاشیه ی نقشه
STR_ERROR_NOT_ENOUGH_CASH_REQUIRES_CURRENCY                     :{WHITE}پول به اندازه ی کافی موجود نیست- به {CURRENCY} نیاز است
STR_COMPANY_MONEY                                               :{WHITE}{CURRENCY}
STR_ERROR_FLAT_LAND_REQUIRED                                    :{WHITE}زمین باید مسطح باشد
STR_STATION_VIEW_WAITING_TITLE                                  :{BLACK}در انتظار: {WHITE}{STRING}
STR_STATION_VIEW_WAITING_CARGO                                  :{WHITE}{CARGO}
STR_STATION_VIEW_ACCEPTS_CARGO                                  :{BLACK}قبول می کند: {WHITE}
STR_STATION_BUILD_ACCEPTS_CARGO                                 :{BLACK}قبول می کند: {GOLD}
STR_CARGO_PLURAL_PASSENGERS                                     :مسافر
STR_CARGO_PLURAL_COAL                                           :ذغال
STR_CARGO_PLURAL_MAIL                                           :پاکت پستی
STR_CARGO_PLURAL_OIL                                            :نفت
STR_CARGO_PLURAL_GOODS                                          :محصولات مصرفی
STR_CARGO_PLURAL_GRAIN                                          :غله
STR_CARGO_PLURAL_WOOD                                           :چوب
STR_CARGO_PLURAL_IRON_ORE                                       :سنگ آهن
STR_CARGO_PLURAL_STEEL                                          :فولاد
STR_CARGO_PLURAL_VALUABLES                                      :جواهرات
STR_CARGO_PLURAL_COPPER_ORE                                     :سنگ مس
STR_CARGO_PLURAL_FRUIT                                          :میوه
STR_CARGO_PLURAL_DIAMONDS                                       :الماس
STR_CARGO_PLURAL_FOOD                                           :مواد خوراکی
STR_CARGO_PLURAL_PAPER                                          :کاغذ
STR_CARGO_PLURAL_GOLD                                           :طلا
STR_CARGO_PLURAL_WATER                                          :آب
STR_CARGO_PLURAL_WHEAT                                          :گندم
STR_CARGO_PLURAL_SUGAR                                          :شکر
STR_CARGO_PLURAL_TOYS                                           :اسباب بازی
STR_CARGO_PLURAL_CANDY                                          :شیرینی
STR_CARGO_PLURAL_COLA                                           :نوشابه
STR_CARGO_PLURAL_COTTON_CANDY                                   :پشمک
STR_CARGO_PLURAL_BUBBLES                                        :حباب
STR_CARGO_PLURAL_TOFFEE                                         :تافی
STR_CARGO_PLURAL_BATTERIES                                      :باتری
STR_CARGO_PLURAL_PLASTIC                                        :پلاستیک
STR_CARGO_PLURAL_FIZZY_DRINKS                                   :نوشابه گازدار
STR_CARGO_SINGULAR_PASSENGER                                    :مسافر
STR_CARGO_SINGULAR_COAL                                         :ذغال
STR_CARGO_SINGULAR_MAIL                                         :نامه
STR_CARGO_SINGULAR_OIL                                          :نفت
STR_CARGO_SINGULAR_GOODS                                        :محصولات مصرفی
STR_CARGO_SINGULAR_GRAIN                                        :غله
STR_CARGO_SINGULAR_WOOD                                         :چوب
STR_CARGO_SINGULAR_IRON_ORE                                     :سنگ آهن
STR_CARGO_SINGULAR_STEEL                                        :فولاد
STR_CARGO_SINGULAR_COPPER_ORE                                   :سنگ مس
STR_CARGO_SINGULAR_FRUIT                                        :میوه
STR_CARGO_SINGULAR_DIAMOND                                      :الماس
STR_CARGO_SINGULAR_FOOD                                         :مواد خوراکی
STR_CARGO_SINGULAR_PAPER                                        :کاغذ
STR_CARGO_SINGULAR_GOLD                                         :طلا
STR_CARGO_SINGULAR_WATER                                        :آب
STR_CARGO_SINGULAR_WHEAT                                        :گندم
STR_CARGO_SINGULAR_SUGAR                                        :شکر
STR_CARGO_SINGULAR_TOY                                          :اسباب بازی
STR_CARGO_SINGULAR_CANDY                                        :شیرینی
STR_CARGO_SINGULAR_COLA                                         :نوشابه
STR_CARGO_SINGULAR_COTTON_CANDY                                 :پشمک
STR_CARGO_SINGULAR_BUBBLE                                       :حباب
STR_CARGO_SINGULAR_TOFFEE                                       :تافی
STR_CARGO_SINGULAR_BATTERY                                      :باتری
STR_CARGO_SINGULAR_PLASTIC                                      :پلاستیک
STR_CARGO_SINGULAR_FIZZY_DRINK                                  :نوشابه گازدار
STR_ABBREV_PASSENGERS                                           :{TINYFONT}PS
STR_ABBREV_COAL                                                 :{TINYFONT}CL
STR_ABBREV_MAIL                                                 :{TINYFONT}ML
